YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
2011 01 08 21 50  35  6.4  8.0  1.76 10.00  7.44 999 9999.0   1.9   6.6 999.0 99.0 99.00
2011 01 08 22 50  29 10.6 12.1  1.77  8.33  6.62 999 9999.0   1.7   6.6 999.0 99.0 99.00
2011 01 08 23 50  38  6.0  7.6  1.72  8.33  5.81 999 9999.0   2.4   7.0 999.0 99.0 99.00
2011 01 09 00 50  14  8.0  9.8  1.62 11.11  5.90 999 9999.0   3.0   6.7 999.0 99.0 99.00
2011 01 09 01 50  11  6.2  7.5  1.69 12.50  5.82 999 9999.0   3.2   6.7 999.0 99.0 99.00
2011 01 09 02 50 350  8.2 10.5  1.69 10.00  5.48 999 9999.0   2.0   7.0 999.0 99.0 99.00
2011 01 09 03 50  63 11.6 14.0  1.63 10.00  4.81 999 9999.0   4.1   7.0 999.0 99.0 99.00
2011 01 09 04 50  42 12.4 15.6  2.19  5.00  4.71 999 9999.0   4.2   7.1 999.0 99.0 99.00
2011 01 09 05 50  27 13.5 16.6  2.49  5.88  4.97 999 9999.0   2.9   7.2 999.0 99.0 99.00
2011 01 09 06 50  15 15.0 17.2  2.79  6.25  5.14 999 9999.0   2.2   7.1 999.0 99.0 99.00
2011 01 09 07 50  16 13.7 16.4  3.02  7.14  5.42 999 9999.0   1.9   7.1 999.0 99.0 99.00
2011 01 09 08 50  13 13.6 16.0  3.31  6.67  5.67 999 9999.0   1.5   7.4 999.0 99.0 99.00
2011 01 09 09 50   8 13.9 18.1  3.04  7.14  5.49 999 9999.0   1.2   7.4 999.0 99.0 99.00
2011 01 09 10 50 358 14.4 17.1  3.06  7.14  5.54 999 9999.0   1.1   7.5 999.0 99.0 99.00
2011 01 09 11 50 343 13.2 17.7  3.11  7.14  5.62 999 9999.0   0.9   7.7 999.0 99.0 99.00
2011 01 09 12 50 352 12.7 15.5  2.85  7.14  5.40 999 9999.0   1.3   7.4 999.0 99.0 99.00
2011 01 09 13 50 335 13.6 16.7  2.76  6.25  5.30 999 9999.0   1.3   7.4 999.0 99.0 99.00
2011 01 09 14 50 322 13.5 16.1  2.84  6.25  5.37 999 9999.0   2.0   7.8 999.0 99.0 99.00
2011 01 09 15 50 313 11.6 14.4  2.64  5.88  5.35 999 9999.0   2.6   7.5 999.0 99.0 99.00
2011 01 09 16 50 294 12.0 15.4  2.70  6.25  5.34 999 9999.0   2.3   7.1 999.0 99.0 99.00
2011 01 09 17 50 297 12.2 15.3  2.68  6.25  5.37 999 9999.0   2.9   7.1 999.0 99.0 99.00
2011 01 09 18 50 291 13.2 16.0  2.76  6.25  5.34 999 9999.0   3.1   7.1 999.0 99.0 99.00
2011 01 09 19 50 294 14.0 17.6  2.93  6.67  5.34 999 9999.0   3.7   7.1 999.0 99.0 99.00
2011 01 09 20 50 294 13.3 16.8  2.52  6.67  5.17 999 9999.0   3.4   7.1 999.0 99.0 99.00
2011 01 09 21 50 297 15.2 18.4  2.87  6.67  5.27 999 9999.0   2.5   7.1 999.0 99.0 99.00
2011 01 09 22 50 302 13.8 17.1  2.83  7.14  5.34 999 9999.0   2.0   7.0 999.0 99.0 99.00
2011 01 09 23 50 305 14.4 18.6  2.88  6.67  5.43 999 9999.0   1.4   6.7 999.0 99.0 99.00
2011 01 10 00 50 305 12.8 17.1  2.87  6.67  5.35 999 9999.0   0.8   6.7 999.0 99.0 99.00
2011 01 10 01 50 304 13.3 16.8  2.67  6.67  5.28 999 9999.0   0.5   6.7 999.0 99.0 99.00
2011 01 10 02 50 299 12.3 14.7  2.74  6.67  5.33 999 9999.0   0.6   6.7 999.0 99.0 99.00
2011 01 10 03 50 300 11.2 13.8  2.52  6.67  5.26 999 9999.0   0.3   6.6 999.0 99.0 99.00
2011 01 10 04 50 310 11.3 14.0  2.59  6.25  5.22 999 9999.0  -0.3   6.6 999.0 99.0 99.00
2011 01 10 05 50 309 11.8 15.7  2.49  6.25  5.23 999 9999.0  -0.9   6.6 999.0 99.0 99.00
2011 01 10 06 50 305 11.3 14.8  2.63  6.67  5.39 999 9999.0  -1.6   6.6 999.0 99.0 99.00
2011 01 10 07 50 302 11.3 15.2  2.46  6.67  5.37 999 9999.0  -1.7   6.6 999.0 99.0 99.00
2011 01 10 08 50 302 11.0 15.1  2.48  6.67  5.39 999 9999.0  -1.8   6.6 999.0 99.0 99.00
2011 01 10 09 50 297 11.5 14.2  2.23  6.67  5.19 999 9999.0  -2.0   6.6 999.0 99.0 99.00
2011 01 10 10 50 303 10.5 13.5  2.43  6.25  5.23 999 9999.0  -2.2   6.6 999.0 99.0 99.00
2011 01 10 11 50 303 10.5 13.2  2.31  5.56  4.98 999 9999.0  -1.7   6.5 999.0 99.0 99.00
2011 01 10 12 50 304 10.9 12.8  2.24  5.88  4.95 999 9999.0  -0.6   6.4 999.0 99.0 99.00
2011 01 10 13 50 308 10.3 13.2  2.05  5.56  4.84 999 9999.0  -0.3   6.4 999.0 99.0 99.00
